Source,Target,Weight,Type
Arya Stark,Black Walder Rivers,0.6931471805599453,Undirected
Black Walder Rivers,Nymeria Sand,0.0,Undirected
Podrick Payne,Tormund Giantsbane,2.0794415416798357,Undirected
Sandor Clegane,Tormund Giantsbane,2.9444389791664403,Undirected
Bran Stark,Tyrion Lannister,5.0689042022202315,Undirected
Cersei Lannister,Nymeria Sand,1.0986122886681098,Undirected
Bronn,Ellaria Sand,0.0,Undirected
Bronn,Oberyn Martell,0.0,Undirected
Bronn,Yara Greyjoy,0.6931471805599453,Undirected
Ellaria Sand,Gendry,0.6931471805599453,Undirected
Ellaria Sand,Oberyn Martell,0.6931471805599453,Undirected
Ellaria Sand,Podrick Payne,0.0,Undirected
Ellaria Sand,Sandor Clegane,0.0,Undirected
Ellaria Sand,Tormund Giantsbane,0.6931471805599453,Undirected
Gendry,Oberyn Martell,0.6931471805599453,Undirected
Gendry,Yara Greyjoy,1.0986122886681098,Undirected
Oberyn Martell,Podrick Payne,0.0,Undirected
Oberyn Martell,Sandor Clegane,0.0,Undirected
Oberyn Martell,Tormund Giantsbane,1.0986122886681098,Undirected
Oberyn Martell,Yara Greyjoy,0.6931471805599453,Undirected
Sandor Clegane,Yara Greyjoy,0.0,Undirected
Tormund Giantsbane,Yara Greyjoy,2.0794415416798357,Undirected
Jaime Lannister,Theon Greyjoy,6.016157159698354,Undirected
Khal Drogo,Theon Greyjoy,0.0,Undirected
Brienne of Tarth,Samwell Tarly,1.6094379124341003,Undirected
Bronn,Grey Worm,1.3862943611198906,Undirected
Bronn,Samwell Tarly,1.0986122886681098,Undirected
Bronn,Sansa Stark,1.9459101490553132,Undirected
Grey Worm,Samwell Tarly,0.6931471805599453,Undirected
Samwell Tarly,Sansa Stark,1.791759469228055,Undirected
Brienne of Tarth,Rhaegar Targaryen,0.0,Undirected
Cersei Lannister,Rhaegar Targaryen,4.553876891600541,Undirected
Rhaegar Targaryen,Tyrion Lannister,4.248495242049359,Undirected
